Pasal,Isi Pasal
Pasal 275,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (s)
Huruf a
Huruf b
Huruf cYang dimaksud dengan ""unit pelayanan Navigasi
Penerbangan di Bandar Udara"" terdiri atas
pelayanan Aerodrome oleh personel pemandu
(Aerodrome controll, pelayanan komunikasi
Penerbangan (aeronautical Jlight information
serviesl, dan pelayanan Aerodrome tanpa
personel pemandu (unattended).
Yang dimaksud dengan ""unit pelayanan navigasi
pendekatan"" adalah unit pelayanan Navigasi
Penerbangan pada kawasan pendekatan
kedatangan (standard arriual route) dan
keberangkatan (standard instrument departurel.
Yang dimaksud dengan ""unit pelayanan Navigasi
Penerbangan jelajah"" adalah unit pelayanan lalu
lintas Penerbangan terkendali yang diberikan
kepada Pesawat Udara yang mendapatkan
persetujuan dari personel pemandu lalu lintas
Penerbangan (air trafic control cLearancel,
pelayanan informasi Penerbangan (flight
information seruicel, dan pelayanan kesiagaan
lalerting seruiel.
AngkaSl ...
SK No 158437 A
PFIESIDEN
REPUBLIK INDONESIA
-223-
Angka 8l
Pasal277
Cukup jelas.
Angka 82
PasaJ292
Ayat (1)
Ayat (2)Cukup jelas.
Yang dimaksud dengan ""personel Navigasi Penerbanganyang terkait langsung dengan pelaksanaan
pengoperasian dan/atau pemeliharaan fasilitas
Navigasi Penerbangan"" meliputi:
a. personel pelayanan lalu lintas Penerbangan, yang
terdiri atas:
1. pemandu lalu lintas Penerbangan; dan
2. pemandu komunikasi Penerbangan.
b. personel teknik telekomunikasi Penerbangan, yang
terdiri atas:
1. teknisi komunikasi Penerbangan;
2. teknisi radio Navigasi Penerbangan;
3. teknisi pengamatan Penerbangan; dan
4. teknisi kalibrasi Penerbangan.
c. personel pelayanan informasi aeronautika; dan
d. personel perancang prosedur Penerbangan adalah
personel yang bertugas antara lain:
1) merancang suatu prosedur pergerakan Pesawat
Udara untuk:
a) keberangkatan (standard instrument
departurel. Prosedur pergerakan Pesawat
Udara keberangkatan adalah jalur
Penerbangan tertentu dari suatu Bandar
Udara, ditandai oleh fasilitas navigasi, yang
merupakan panduan bagi penerbang.
SK No 097273 Ab) kedatanga .
PRESIDEN
REPUBLIK INDONESIA
-224-
b) kedatangan (standard instrument arriual
route). Prosedur pergerakan Pesawat Udara
kedatangan adalah jalur Penerbangan
tertentu menuju suatu Bandar Udara,
ditandai oleh fasilitas-fasilitas navigasi,
yang merupakan panduan bagi penerbang.
c) ancangan pendaratan linstrument approach
proedurel. Prosedur pergerakan PesawatUdara ancangan pendaratan adalah
rangkaian manuver yang ditetapkan bagi
penerbang dalam melaksanakan prosedur
ancangan pendaratan dengan hanya
berpedoman pada instrumen-instrumen
yang terdapat dalam cockpit serta fasilitas
komunikasi dan navigasi.
d) terbang jelajah (en-routel. Prosedur
pergerakan Pesawat Udara terbang jelajah
adalah prosedur pergerakan Pesawat Udara
yang dimulai dari fase keberangkatan
sampai dengan awal fase kedatangan
melalui suatu jalur Penerbangan dengan
batas ketinggian minimum yang ditentukan
(minimum en-route altitudel.
2) melakukan kajian aeronautika terhadap objek
halangan yang berada dalam area operasi
Penerbangan.
Angka 83
Pasal294
Cukup jelas.
Angka 84"
Pasal 277,"Ketentuan lebih lanjut mengenai tata cara dan prosedur
pembentukan dan sertifikasi lembaga penyelenggara
pelayanan Navigasi Penerbangan serta biaya pelayanan
jasa Navigasi Penerbangan diatur dalam Peraturan
Pemerintah.
82. Ketentuan Pasal 292 diubah sehingga berbunyi sebagai
berikut:"
Pasal 292,"Cukup jelas.
Angka 54"
Pasal 317,"Cukup jelas.
Angka86...
SK No 158439A
PRESIDEN
REPLTBLIK INDONESIA
-225-
Angka 86"
Pasal 389,"Cukup jelas.
Angka 87"
Pasal 392,"Cukup jelas.
Angka 88"
Pasal 4O9,"Setiap Orang selain yang ditentukan dalam Pasal 47
yang melakukan perawatan Pesawat Udara, mesin
Pesawat Udara, baling-baling Pesawat Terbang dan
komponennya
dipidana dengan pidana penjara paling lama I (satu)
tahun atau pidana denda paling banyak
Rp200.000.000,O0 (dua ratus juta rupiah).
89. Ketentuan Pasal 414 diubah sehingga berbunyi sebagai
berikut:"
Pasal 414,"Cukup jelas.
Angka 90"
Pasal 416,"Cukup jelas.
Angka 91"
Pasal 84 dipidana dengan pidana penjara paling lama,"1 (satu) tahun atau pidana denda paling banyak
Rp500.00O.0OO,0O (lima ratus juta rupiah).
9 1. Ketentuan . . .
SK No 096546 A
PRESIDEN
REPUBLIK INDONESIA
-454-
91. Ketentuan Pasal 418 diubah sehingga berbunyi sebagai
berikut:"
Pasal 418,"Cukup jelas.
Angka 92"
Pasal 423,"Cukup jelas.
Angka 93"
Pasal 426,"Cukup jelas.
Angka 94"
Pasal 427,"Cukup jelas.
Angka 95"
Pasal 428(1) Setiap Orang yang mengoperasikan Bandar Udara,"Khusus yang digunakan untuk kepentingan umumtanpa persetujuan dari Pemerintah Pusat
sebagaimana dimaksud dalam Pasal 250 yang
mengakibatkan timbulnya korban dipidana dengan
pidana penjara paling lama 3 (tiga) tahun atau
pidana denda paling banyak Rp3.O00.000.000,00
(tiga miliar rupiah).
(21 Dalam hal tindak pidana sebagaimana dimaksud
pada ayat (1) mengakibatkan kematian orang,
pelaku dipidana dengan pidana penjara paling
lama 15 (lima belas) tahun dan pidana denda paling
banyak Rp15.00O.000.000,00 (lima belas miliar
rupiah).
Paragraf 1 1
Kesehatan, Obat, dan Makanan"
Pasal 1O6 . . .,"SK No 132677A
5PRESIDEN
REPUBLIK INDONESIA
-458-"
Pasal 182,"Huruf a
Yang dimaksud dengan usertifikat"" antara lain: sertifikat halal,
sertifikat laik fungsi, dan lain-lain.
Hurufb . . .
SK No 097204 A
PRES!DEN
REPUBLIK INDONESIA
-380-
Huruf b
Cukup jelas.
Huruf c
Cukup jelas.
Huruf d
Cukup jelas.
Huruf e
Cukup jelas."
Pasal 183,Cukup jelas.
Pasal 182 dalam melaksanakan tugasnya dapat,"mengangkat tenaga pengawas dengan tugas pokok
untuk melakukan pengawasan terhadap segala sesuatu
yang berhubungan dengan Sumber Daya di Bidang
Kesehatan dan Upaya Kesehatan.
Ketentuan Pasal 187 diubah sehingga berbunyi sebagai
berikut:"
Pasal 187,"Cukup jelas.
Angka 69"
Pasal 197. . .8,"9
SK No 132680A
PRESIDEN
REPUBLIK INDONESIA
-461 -
1Pasal 197
Setiap orang yang dengan sengaja memproduksi atau
mengedarkan Sediaan Farmasi dan/atau Alat
Kesehatan yang tidak memiliki Perizinan Berusaha
sebagaimana dimaksud dalam Pasal 1O6 ayat (1)
dan/atau ayat (21, dipidana dengan pidana penjara
paling lama 15 (lima belas) tahun dan pidana denda
paling banyak Rp1.500.000.000,00 (satu miliar lima
ratus juta rupiah)."
"Pasal 14, Pasal 15, atau Pasal 16 dikenai sanksi","administratif berupa:
a. peringatantertulis;
b. penghentian sementarakegiatan;
c. dendaadministratif;
d. pembekuan Peizinan Berusaha; dan/atau
e. pencabutan Penzinan Berusaha.
(21 Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 24 diubah sehingga berbunyi sebagai
berikut:2
SK No 132681APasaJ24...
3PRESIDEN
REPUBLIK INDONESIA
-462-"
"Pasal 11..,I","SK No 132690A
PRESIDEN
REPI.JBLIK INDONESIA
-471 -
2Pasal 11
(l) Industri Farmasi tertentu dapat memproduksi
Narkotika setelah memenuhi Perizinan Berusaha
dari Pemerintah Pusat.
(21 Pemerintah Pusat melakukan pengendalian
terhadap Produksi Narkotika sesuai denganrencana kebutuhan tahunan Narkotika
sebagaimana dimaksud dalam Pasal 9.
(3) Pemerintah Pusat melakukan pengawasan
terhadap bahan baku, proses Produksi, dan hasil
akhir dari Produksi Narkotika sesuai denganrencana kebutuhan tahunan Narkotika
sebagaimana dimaksud dalam Pasal 9.
(41 Ketentuan lebih lanjut mengenai tata cara
pemberian Perizinan Berusaha, pengendalian, dan
pengawasan sebagaimana dimaksud pada ayat (1),
ayat (21, dan ayat (3) diatur dalam Peraturan
Pemerintah.
Ketentuan Pasal 15 diubah sehingga berbunyi sebagai
berikut:"
Pasal 19...,"SK No 132692A
ratPRESTDEN
BLIK INDONESIA
-473-
6Pasal 19
(1) Eksportir Narkotika harus memiliki Surat
Persetujuan Ekspor yang diterbitkan oleh
Pemerintah Pusat untuk setiap kali melakukan
Ekspor Narkotika.
(21 Untuk memperoleh Surat Persetujuan Ekspor
Narkotika sebagaimana dimaksud pada ayat (1),
pemohon harus melampirkan surat persetqjuan
yang diterbitkan oleh negara pengimpor.
Ketentuan PasaT 22 diubah sehingga berbunyi sebagai
berikut:
PasaJ22
Ketentuan lebih lanjut mengenai syarat dan tata cara
memperoleh Surat Persetujuan Impor dan Surat
Persetqiuan Ekspor diatur dalam Peraturan
Pemerintah.
Ketentuan Pasal 24 diubah sehingga berbunyi sebagai
berikut:
PasaT 24
(1) Setiap pengangkutan Impor Narkotika wajib
dilengkapi dengan dokumen atau surat
persetujuan ekspor Narkotika yang sah sesuai
dengan ketentuan peraturan perundang-undangan
di negara pengekspor dan Surat Persetujuan Impor
Narkotika yang diterbitkan oleh Pemerintah Pusat.
(21 Setiap pengangkutan Ekspor Narkotika wajib
dilengkapi dengan Surat Persetqjuan Ekspor
Narkotika yang diterbitkan oleh Pemerintah Pusat
dan dokumen atau surat persetujuan impor
Narkotika yang sah sesuai dengan ketentuanperaturan perundang-undangan di negara
pengimpor.
(3) Ketentuan lebih lanjut mengenai Surat Persetujuan
Impor Narkotika sebagaimana dimaksud pada ayat(1) dan Surat Persetqjuan Ekspor Narkotika
sebagaimana dimaksud pada ayat (2) diatur dalam
Peraturan Pemerintah.7
SK No 132693 A8. Ketentuan . . .
PRESIDEN
REPUBLIK INDONESIA
-474-
8Ketentuan Pasal 26 diubah sehingga berbunyi sebagai
berikut:"
Pasal 64,"Cukup jelas.
Angka 19"
Pasal 8l,(1) Iradiasi Pangan sebagaimana dimaksud dalam
Pasal 80 ayat (1) dilakukan berdasarkan Perizinan,"Berusaha dari Pemerintah Pusat.
(21 Ketentuan lebih lanjut mengenai Perizinan
Berusaha sebagaimana dimaksud pada ayat (l)
diatur dalam Peraturan Pemerintah.
11. Pasal 87 dihapus.
12. Ketentuan Pasal 88 diubah sehingga berbunyi sebagai
berikut:"
Pasal 9 1,"Ayat (1)
Cukup jelas.PRESIDEN
REPUALTK INDONESIA
-239-
(2)
Yang dimaksud dengan ""bahan baku"" adalah bahan
utama yang dipakai dalam kegiatan atau proses
Produksi Pangan, yang dapat berupa bahan mentah,
bahan setengah jadi, atau bahan jadi.
Yang dimaksud dengan ""bahan lain"" adalah bahan yang
tidak termasuk bahan baku maupun bahan tambahan
Pangan.
(s)
Cukup jelas.
SK No 158454AAyat(2) ...
PRESIDEN
REPUBLIK INDONESIA
-240-
Ayat (2)
Yang dimaksud dengan ""Pangan Olahan tertentu""
adalah Pangan Olahan yang dibuat oleh industri rumah
tangga Pangan, yaitu industri Pangan yang memiliki
tempat usaha di tempat tinggal dengan peralatan
pengolahan manual hingga semi otomatis.
Ayat (3)
Cukup jelas.
Angka 14"
Pasal 91A,"Cukup jelas.
Angka 15"
Pasal 65.,"17. Ketentuan Pasal 135 diubah sehingga berbunyi sebagai
berikut:
SK No 132706APasal 135 . . .
PRESIDEN
REPUBLIK INDONESIA
-447-"
Pasal 84 ayat (1) yang mengakibatkan timbulnya,"korban gangguan kesehatan manusia dipidana
dengan pidana penjara paling lama 4 (empat) tahunatau pidana denda paling banyak
Rp I 0.00O.000. 000,00 (sepuluh miliar rupiah).
(21 Ketentuan sebagaimana dimaksud pada ayat (1)
dikecualikan dari pengenaan sanksi pidana
terhadap pelanggaran yang dilakukan oleh Setiap
Orang yang melakukan usaha dan/atau kegiatan
berisiko rendah atau menengah.
(3) Setiap Orang yang melakukan pelanggaran
sebagaimana dimaksud pada ayat (2) dikenai
sanksi administratif sebagaimana dimaksud dalam"
Pasal 85.,"19. Ketentuan . . .
SK No 132707A
FRESIDEN
REPUBLIK INDONESIA
-488-
19. Ketentuan Pasal 140 diubah sehingga berbunyi sebagai
berikut:"
Pasal 140,Cukup jelas.
Pasal 94.,"21. Ketentuan PasaL L42 diubah sehingga berbunyi sebagai
berikut:"
Pasal 141,Cukup jelas.
Pasal 142,Cukup jelas.
"Pasal 15, Pasal 17 ayat (1), Pasal 20 ayat (1), Pasal2l ayal (2), Pasal 22 ayat (1) atau ayat(21, Pasal 26","ayat (1), Pasal 27 ayat (1), Pasal 31, Pasal 33 ayat
(l), Pasal 39 ayat (1), Pasal 43, danlafa:u Pasal 57
ayat (l) dikenai sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (l) dapat berupa:
a. teguran tertulis;
b. dendaadministratif;
c. penutupan sementara; dan/atau
d. pembubaran atau pencabutan Perizinan
Berusaha.4
SK No 132711A(3) Ketentuan. . .
PRESIDEN
REPUBLIK INDONESIA
-492-
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif diatur dalam Peraturan Pemerintah.
5. Pasal 79 dihapus.
Paragraf 13
Kepariwisataan"
Pasal 59...,"6PRES I O EN
REPUBLIK INDONESIA
-501 -"
Pasal 84...,"SK No 124557 A
, PRESIDEN
REPUBLIK INOONESIA
-503-"
Pasal 9 I,"(1) PPIU dapat membuka kantor cabang PPIU di luar
domisili perusahaan.
(21 Pembukaan kantor cabang PPIU sebagaimana
dimaksud pada ayat (1) harus dilaporkan kepada
Pemerintah Pusat.
14. Ketentuan Pasal 92 diubah sehingga berbunyi sebagai
berikut:
Pasa792
Ketentuan lebih lanjut mengenai Perizinan Berusaha
dan pembukaan kantor cabang PPIU sebagaimana
dimaksud dalam Pasal 89, Pasal 90, dan Pasal 91 diatur
dalam Peraturan Pemerintah.
15. Ketentuan Pasal 94 diubah sehingga berbunyi sebagai
berikut:"
Pasal 94...,"PRESIDEN
REPUELIK INDONESIA
-296-"
Pasal 1O3,"Pemerintah Pusat menetapkan standar akreditasi PPIU.
20. Ketentuan Pasal 104 diubah sehingga berbunyi sebagai
berikut:"
Pasal 118A,"(1) PIHK yang dengan sengaja menyebabkan
kegagalan keberangkatan, penelantaran, atau
kegagalan kepulangan Jemaah Haji Khusus
sebagaimana dimaksud dalam Pasal 118 dikenai
sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) berupa:
a. penghentian sementarakegiatan;
b. dendaadministratif;
c. paksaan pemerintah;
d. pembekuan Perizinan Berusaha; dan/ atau
e. pencabutan Perizinan Berusaha.
(3) Selain dikenai sanksi administratif sebagaimana
dimaksud pada ayat (2), PIHK dikenai sanksi
berupa kewajiban untuk mengembalikan sejumlah
biaya yang telah disetorkan oleh Jemaah Haji
Khusus serta kerugian imateriel lainnya.
(41 Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1),
ayat (21, dan ayat (3) diatur dalam Peraturan
Pemerintah.
23. Di antara Pasal 119 dan Pasal 12O disisipkan 1 (satu)
pasal, yakni Pasal 1l9A sehingga berbunyi sebagai
berikut:"
Pasal 119A. . .,"SK No 124563 A
PRE S I DEN
REPUBLIK INDONESIA
-509-"
Pasal 119A,"(1) PPIU yang dengan sengaja menyebabkan kegagalan
keberangkatan, penelantaran, atau kegagalan
kepulangan Jemaah Umrah sebagaimana
dimaksud dalam Pasal 119 dikenai sanksi
administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) berupa:
a. penghentian sementarakegiatan;
b. dendaadministratif;
c. paksaan pemerintah;
d. pembekuan Perizinan Berusaha; dan/ atau
e. pencabutan Peizinan Berusaha.
(3) Selain dikenai sanksi administratif sebagaimana
dimaksud pada ayat (l), PPIU dikenai sanksi
berupa kewajiban untuk mengembalikan sejumlah
biaya yang telah disetorkan oleh Jemaah Umrah
serta kerugian imateriel lainnya.
(4) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1),
ayat (21, dan ayat (3) diatur dalam Peraturan
Pemerintah.
24. Ketentuan Pasal 125 diubah sehingga berbunyi sebagai
berikut:"
Pasal 126 . . .,"SK No 124564A
PRESIDEN
REPUBLIK INDONESIA
-510-"
Pasal 13 dihapus.,"Ketentuan Pasal 39 diubah sehingga berbunyi sebagai
berikut:"
"Pasal 14 ayat (1), Pasal 14 ayat (3), atau Pasal 15","ayat (4) dikenai sanksi administratif.2
3
4
(2) Sanksi . . .
SK No 124566A
PRESIDEN
REPUBLIK INDONESIA
-512-
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) dapat berupa:
a. teguran tertulis;
b. denda administratif; dan/atau
c. pencabutan Perizinan Berusaha.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengen€En sanksi
sebagaimana dimaksud pada ayat (1) dan ayat (21
diatur dalam Peraturan Pemerintah."
Pasal 34B,"Ayat (1)
Yang dimaksud dengan ""infrastruktur pasif"" termasuk
tetapi tidak terbatas pada gorong-gorong (ducting), tiang
Telekomunikasi (toutefi, ttang Qtolel, dan lain-lain yang
dapat digunakan untuk penggelaran Jaringan
Telekomunikasi.
Ayat (21
Yang dimaksud dengan ""infrastruktu/ dalam ketentuan
ini adalah infrastruktur aktif.
Ayat (3)
Cukup jelas.
Ayat(4) ...
SK No 158471A
PRESIDEN
ITEPU BLIK TNDONESIA
-257 -
Ayat (4)
Cukup jelas.
Ayat (5)
Cukup jelas.
Angka 8"
"Pasal 18 ayat(21, Pasal 19, Pasal 20, Pasal 21, Pasal","25 ayat (2), Pasal 26 ayat (1), Pasal 29 ayat (ll,"
"Pasal 29 ayat (2), Pasal 32 ayat (1), Pasal 33 ayat","(1), Pasal 33 ayat (2), Pasal 33 ayat (3), Pasal 33
ayat (71, atau Pasal 34 ayat (1) dikenai sanksi
administratif.
l2l Sanksi administratif sebagaimana dimaksud pada
ayat (1) dapat berupa:
a. teguran tertulis;
b. penghentian sementarakegiatan;
c. denda administratif; dan/atau
d. pencabutan Perizinan Berusaha.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (1)
dan ayat (2) diatur dalam Peraturan Pemerintah.
10. Ketentuan . . .
SK No 124572A9. Pasal 46 dihapus.
PRESIDEN
REPUBLIK INDONESIA
-518-
10. Ketentuan Pasa1 47 diubah sehingga berbunyi sebagai
berikut:"
Pasal 34 dihapus.,"Ketentuan Pasal 55 diubah sehingga berbunyi sebagai
berikut:4
5
SK No 137127APasal 55. . .
6PRESIDEN
REPUELIK INDONESIA
-520-"
"Pasal 17 ayat (3), Pasal 18 ayat (1), Pasal 18 ayat","(2), Pasal 20, Pasal 23, Pasal 24, Pasal 26 ayat (2),"
"Pasal 27, Pasal 28, Pasal 33 ayat (1), Pasal 33 ayat","(2), Pasal 36 ayat (2), Pasal 36 ayat (3), Pasal 36
ayat l4l, Pasal 39 ayat (1), Pasal 43 ayat (2), Pasal
44 ayat (1), Pasal 45 ayat (1), Pasal 46 ayat (31,"
"Pasal 46 ayat (6), Pasal 46 ayat (71, Pasal 46 ayat","(8), Pasal 46 ayat (9), Pasal 46 ayat (10), atau Pasal
46 ayat (1 1) dikenai sanksi administratif.
(21 Sanksi administratif sebagaimana dimaksud pada
ayat (1) dapat berupa:
a. teguran tertulis;
b. penghentian sementara mata acara yang
bermasalah setelah melalui tahap tertentu;
c. pembatasan durasi dan waktu Siaran;
d. dendaadministratif;
e. pembekuan kegiatan Siaran untuk waktu
tertentu;
f. tidak diberi perpanjangan Perizinan Berusaha
penyelenggaraan Penyiaran; dan/ atau
g. pencabutan Peizinan Berusaha
penyelenggaraan Penyiaran.
(3) Ketentuan lebih lanjut mengenai kriteria, jenis,
besaran denda, dan tata cara pengenaan sanksi
administratif sebagaimana dimaksud pada ayat (2)
diatur dalam Peraturan Pemerintah.
Ketentuan Pasal 57 diubah sehingga berbunyi sebagai
berikut:
SK No l37l28APasal 57...
PRESlDEN
REPUELIK TNDONESIA
-521 -
7Pasal 57
(l) Setiap orang yang melanggar ketentuan
sebagaimana dimaksud dalam Pasal 30 ayat (1),"
"Pasal 36 ayat (5), atau Pasal 36 ayat (6) yang","dilakukan untuk Penyiaran Radio dipidana dengan
pidana penjara paling lama 5 (lima) tahun atau
pidana denda paling banyak Rp 1.5O0.O00.0OO,0O
(satu miliar lima ratus juta rupiah).
(21 Setiap orang yang melanggar ketentuan
sebagaimana dimaksud dalam Pasal 30 ayat (1),"
"Pasal 36 ayat (5), atau Pasal 36 ayal (6) yang","dilakukan untuk Penyiaran Televisi dipidana
dengan pidana penjara paling lama 5 (lima) tahunatau pidana denda paling banyak
Rp 1 0.000.000.000,00 (sepuluh miliar rupiah).
Ketentuan Pasal 58 diubah sehingga berbunyi sebagai
berikut:"
Pasal 6OA . . .,"SK No l37l29A
PRESIDEN
REPUBLIK ]NDONESIA
-522-"
Pasal 60A,"Ayat (1)
Penyelenggaraan Penyiaran harus mengikuti
perkembangan teknologi untuk meningkatkan efi siensi
pemanfaatan Spektrum Frekuensi Radio dan spektrum
elektromagnetik lainnya, kualitas penerimaan dan
pilihan program Siaran radio dan televisi bagimasyarakat, efrsiensi dalam operasional
penyelenggaraan jasa Penyiaran Radio dan Penyiaran
Televisi dan pertumbuhan industri-industri yang
terkait dengan bidang Penyiaran.
Ayat(2)...
SK No 158473 A
Ayat (2)
Ayat (3)"
Pasal 56. . .,"SK No 137133 A
7PRESIDEN
REPUBLIK INDONESIA
-526-"
Pasal 69A,"Cukup jelas.
Angka 12
PasalT2
Cukup jelas.
Angka13...
SK No 158475 A
PRE S I OEN
REPUBLIK INDONESIA
-26t-
Angka 13"
"Pasal 69 dilakukan oleh instansi pemerintah,","kegiatan tersebut wajib mendapatkan persetujuan
dari Pemerintah Pusat.
(21 Perizinan Berusaha dan persetujuan dari
Pemerintah Pusat dilaksanakan oleh menteri yang
menyelenggarakan urusan pemerintahan di
bidang pertahanan berdasarkan nonna, standar,
prosedur, dan kriteria yang ditetapkan.
(3) Ketentuan lebih lanjut mengenai Perizinan
Berusaha sebagaimana dimaksud dalam Pasal 38,"
"Pasal 55, Pasal 56, Pasal 67, Pasal 68, dan Pasal69, dan persetujuan dari Pemerintah Pusat","sebagaimana dimaksud pada ayat (1), serta surat
keterangan kelaikan Alat Peralatan Pertahanan
dan Keamanan sebagaimana dimaksud dalam"
Pasal 39 ayat (21 diatur dalam Peraturan,"Pemerintah.
12. Ketentuan . . .
SK No 137135 A
PRESIDEN
REPUBLIK INDONESIA
-524-
12. Ketentuan Pasal 72 diubah sehingga berbunyi sebagai
berikut:"
Pasal 15. . .,"SK No l37l37A
PRESIDEN
REPUELIK INDONESIA
-530-"
Pasal 79,"Ayat (1)
Cukup jelas.
Ayat (21
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (a)
Cukup jelas.
Ayat (s)
Bagi Perusahaan yang telah memberlakukan istirahat
panjang tidak boleh mengurangi dari ketentuan yang
sudah ada.
Ayat (6)
Cukup jelas.
Angka26"
Pasal 8O,"Dalam rangka penguatan perlindungan kepada tenaga kerja
dan meningkatkan peran dan kesejahteraan pekerja/buruhdalam mendukung ekosistem investasi, Peraturan
Pemerintah Pengganti Undang-Undang ini mengubah,
menghapus, atau menetapkan pengaturan baru beberapa
ketentuan yang diatur dalam:
a Undang-Undang Nomor 13 Tahun 2003 tentang
Ketenagakerjaan (Lembaran Negara Republik Indonesia
Tahun 20O3 Nomor 39, Tambahan Lembaran Negara
Republik Indonesia Nomor 42791;
b Undang-Undang Nomor 4O Tahun 20O4 tentang Sistem
Jaminan Sosial Nasional (Lembaran Negara Republik
Indonesia Tahun 2OO4 Nomor 150, Tambahan
Lembaran Negara Republik Indonesia Nomor 4456);
c Undang-Undang Nomor 24 Tahun 2011 tentang Badan
Penyelenggara Jaminan Sosial (Lembaran Negara
Republik Indonesia Tahun 2Ol1 Nomor 116, Tambahan
Lembaran Negara Republik Indonesia Nomor 5256); dan
d Undang-Undang Nomor 18 Tahun 2Ol7 tentang
Pelindungan Pekerja Migran Indonesia (lrmbaran
Negara Republik Indonesia Tahun 2O17 Nomor 242,
Tambahan Lembaran Negara Republik Indonesia Nomor
6t4tl.
SK No 137146ABagian Kedua . . .
PRESIDEN
REPUELIK INDONESIA
-539-
flagian Kedua
Ketenagakerjaan"
